,pais,anio,inversion
542,congo,2021,531.9813912909
543,COK,2021,-2.2084299
544,CRI,2021,3231.0517604
545,cote_divoire,2021,1376.5587990241
546,HRV,2021,4427.4224181366
547,CWU,2021,145.7004006704
548,CYP,2021,-35743.7630167689
549,CZE,2021,9050.6439183857
550,COD,2021,1870.0325028
551,DNK,2021,4681.4809913549
552,DOM,2021,3196.8
553,ECU,2021,647.2981509
554,EGY,2021,5122.0
555,SLV,2021,314.47614
556,GNQ,2021,459.8483212854
557,EST,2021,-831.9995884063
558,FJI,2021,407.0252912998
559,FIN,2021,13806.129907486
560,FRA,2021,30884.9027905579
561,PYF,2021,-25.6244477176
562,GAB,2021,1529.2210841177
563,GMB,2021,248.55
564,GEO,2021,1241.82174
565,DEU,2021,46467.6615091296
566,GHA,2021,2413.89
567,GRC,2021,6328.1893248208
568,GTM,2021,3461.7743
569,GIN,2021,197.61
570,GNB,2021,18.5297233557
571,GUF,2021,4468.10466
572,HTI,2021,51.299
573,HND,2021,738.7
574,HUN,2021,7558.8109729513
575,ISL,2021,153.0449206332
576,IND,2021,44762.6796365955
577,IDN,2021,21131.11
578,IRN,2021,1425.0
579,IRQ,2021,-2637.0
580,IRL,2021,-4929.6624222052
581,ISR,2021,21486.458
582,ITA,2021,-8955.7110990734
583,JAM,2021,320.48
584,JPN,2021,24652.0311709086
585,JOR,2021,621.8309859155
586,KAZ,2021,3336.7948055
587,KEN,2021,463.3489357
588,KIR,2021,1.031376
589,KOR,2021,22060.4
590,KWT,2021,567.2268211097
591,KGZ,2021,226.2
592,lao,2021,1071.9137156
593,LVA,2021,3322.3180767693
594,LBN,2021,605.143327
595,LBR,2021,45.68
596,LTU,2021,2864.5738467689
597,LUX,2021,25122.5910532777
598,MDG,2021,357.5366653
599,MWI,2021,129.4970785
600,MYS,2021,12173.3758952409
601,MLI,2021,639.9441653972
602,MLT,2021,4116.2834981679
603,MRT,2021,1063.5400782285
604,MUS,2021,253.1892527542
605,MEX,2021,31543.457456
606,MNG,2021,2173.39
607,MNE,2021,698.9195783767
608,MAR,2021,2266.4556114246
609,MOZ,2021,5101.6679545
610,NAM,2021,697.2702178443
611,NLD,2021,-77453.3756951557
612,NCL,2021,793.713550772
